"n","p","SNR","method","zeroOneError","supportSize","CPUTime","ReplicateId"
100,200,2,"MCMCHorseshoe",9,3,0.000684,0
100,200,4,"MCMCHorseshoe",8,2,0.0006908,0
100,500,2,"MCMCHorseshoe",11,3,0.0011292,0
100,500,4,"MCMCHorseshoe",20,18,0.0011192,0
200,200,2,"MCMCHorseshoe",12,12,0.0009408,0
200,200,4,"MCMCHorseshoe",9,3,0.0009476,0
200,500,2,"MCMCHorseshoe",11,1,0.0024016,0
200,500,4,"MCMCHorseshoe",9,7,0.0024324,0
100,200,2,"MCMCHorseshoe",13,3,0.0006832,1
100,200,4,"MCMCHorseshoe",7,3,0.0006952,1
100,500,2,"MCMCHorseshoe",11,7,0.0011128,1
100,500,4,"MCMCHorseshoe",9,3,0.0011236,1
200,200,2,"MCMCHorseshoe",10,6,0.0009484,1
200,200,4,"MCMCHorseshoe",5,9,0.0009608,1
200,500,2,"MCMCHorseshoe",11,5,0.0024068,1
100,200,2,"flippingSpikeSlab",11,1,0.000584,0
200,500,4,"MCMCHorseshoe",8,4,0.0024068,1
100,200,4,"flippingSpikeSlab",9,3,0.000588,0
100,200,2,"MCMCHorseshoe",8,2,0.0006944,2
100,500,2,"flippingSpikeSlab",89,87,0.00389066666666667,0
100,200,4,"MCMCHorseshoe",10,4,0.0006836,2
100,500,2,"MCMCHorseshoe",12,8,0.001108,2
100,500,4,"flippingSpikeSlab",83,77,0.00360466666666667,0
100,500,4,"MCMCHorseshoe",16,6,0.001116,2
200,200,2,"flippingSpikeSlab",9,1,0.000771333333333333,0
200,200,4,"flippingSpikeSlab",9,3,0.000828,0
200,200,2,"MCMCHorseshoe",14,10,0.000966,2
200,500,2,"flippingSpikeSlab",18,18,0.00186333333333333,0
200,200,4,"MCMCHorseshoe",5,7,0.0009456,2
200,500,4,"flippingSpikeSlab",15,13,0.00164466666666667,0
200,500,2,"MCMCHorseshoe",10,4,0.0024332,2
100,200,2,"flippingSpikeSlab",9,1,0.000576666666666667,1
100,200,4,"flippingSpikeSlab",8,2,0.000562,1
200,500,4,"MCMCHorseshoe",5,5,0.0024124,2
100,500,2,"flippingSpikeSlab",47,37,0.001734,1
100,200,2,"MCMCHorseshoe",9,3,0.000692,3
100,200,4,"MCMCHorseshoe",7,3,0.0006824,3
100,500,4,"flippingSpikeSlab",93,87,0.00513333333333333,1
100,500,2,"MCMCHorseshoe",15,11,0.0011208,3
200,200,2,"flippingSpikeSlab",7,3,0.000777333333333333,1
200,200,4,"flippingSpikeSlab",9,1,0.000836666666666667,1
100,500,4,"MCMCHorseshoe",13,7,0.0011204,3
200,500,2,"flippingSpikeSlab",20,12,0.00144866666666667,1
200,200,2,"MCMCHorseshoe",11,3,0.0009484,3
200,500,4,"flippingSpikeSlab",14,6,0.00141,1
200,200,4,"MCMCHorseshoe",4,10,0.000946,3
100,200,2,"flippingSpikeSlab",9,1,0.000556,2
100,200,4,"flippingSpikeSlab",9,1,0.000558,2
200,500,2,"MCMCHorseshoe",13,3,0.0024016,3
200,500,4,"MCMCHorseshoe",7,5,0.0024056,3
100,500,2,"flippingSpikeSlab",95,91,0.00525866666666667,2
100,200,2,"MCMCHorseshoe",10,2,0.0006796,4
100,200,4,"MCMCHorseshoe",14,10,0.0006936,4
100,500,4,"flippingSpikeSlab",100,96,0.005382,2
100,500,2,"MCMCHorseshoe",14,4,0.0011084,4
200,200,2,"flippingSpikeSlab",9,1,0.000764,2
200,200,4,"flippingSpikeSlab",6,4,0.000792,2
100,500,4,"MCMCHorseshoe",19,17,0.0011056,4
200,500,2,"flippingSpikeSlab",22,12,0.001342,2
200,200,2,"MCMCHorseshoe",10,2,0.0009476,4
200,500,4,"flippingSpikeSlab",16,10,0.001458,2
200,200,4,"MCMCHorseshoe",6,4,0.0009436,4
100,200,2,"flippingSpikeSlab",10,2,0.000573333333333334,3
100,200,4,"flippingSpikeSlab",12,2,0.000590666666666666,3
200,500,2,"MCMCHorseshoe",12,4,0.0024028,4
200,500,4,"MCMCHorseshoe",6,6,0.0024144,4
100,500,2,"flippingSpikeSlab",100,96,0.005424,3
100,200,2,"MCMCHorseshoe",12,10,0.0006844,5
100,500,4,"flippingSpikeSlab",24,16,0.001948,3
100,200,4,"MCMCHorseshoe",11,3,0.0006788,5
200,200,2,"flippingSpikeSlab",8,2,0.000758,3
100,500,2,"MCMCHorseshoe",9,3,0.0011156,5
200,200,4,"flippingSpikeSlab",11,3,0.000762666666666667,3
100,500,4,"MCMCHorseshoe",13,7,0.0011148,5
200,500,2,"flippingSpikeSlab",19,13,0.00166733333333333,3
200,200,2,"MCMCHorseshoe",15,9,0.0009584,5
200,500,4,"flippingSpikeSlab",16,14,0.00162866666666667,3
100,200,2,"flippingSpikeSlab",10,0,0.00054,4
200,200,4,"MCMCHorseshoe",14,8,0.0009392,5
100,200,4,"flippingSpikeSlab",10,2,0.000558666666666666,4
200,500,2,"MCMCHorseshoe",12,6,0.0023916,5
100,500,2,"flippingSpikeSlab",100,92,0.00508666666666667,4
200,500,4,"MCMCHorseshoe",9,11,0.002458,5
100,500,4,"flippingSpikeSlab",88,84,0.00399933333333333,4
100,200,2,"MCMCHorseshoe",11,1,0.0006824,6
200,200,2,"flippingSpikeSlab",10,2,8e-04,4
100,200,4,"MCMCHorseshoe",12,10,0.0006792,6
200,200,4,"flippingSpikeSlab",7,3,0.000778666666666666,4
100,500,2,"MCMCHorseshoe",12,4,0.0011084,6
200,500,2,"flippingSpikeSlab",19,11,0.0017,4
100,500,4,"MCMCHorseshoe",9,5,0.0011188,6
200,500,4,"flippingSpikeSlab",33,27,0.00196533333333333,4
200,200,2,"MCMCHorseshoe",7,3,0.0009528,6
100,200,2,"flippingSpikeSlab",10,2,0.000599333333333333,5
200,200,4,"MCMCHorseshoe",7,3,0.000962,6
100,200,4,"flippingSpikeSlab",9,1,0.000618666666666667,5
